denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.1,0.5,0.0,0.15,20.984403678751434,0.6553022004874893,0.0,40
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.2,0.5,0.0,0.15,21.442864290816686,1.1137628125527395,0.0,40
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.4,0.5,0.0,0.15,21.516020703088667,1.1869192248247205,0.0,40
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.8,0.5,0.0,0.15,21.40559031116759,1.0764888329036417,0.0,40
wavelet,blur,pnp_hqs,linear25p0_to_10p0,1.6,0.5,0.0,0.15,21.165472880038344,0.8363714017743963,0.07499999999999996,40
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.02,22.416307124418232,2.0872056461542887,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.05,21.774921546828388,1.44582006856444,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.1,21.42957447598755,1.1004729977236036,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.2,21.221101503546556,0.892000025282611,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.5,20.553535608925237,0.22443413066129114,0.4,40
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.02,22.09339996262704,1.7642984843630913,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.05,21.54864391523339,1.2195424369694456,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.1,21.342751578951894,1.0136501006879484,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.2,20.94938310540389,0.6202816271399418,0.025000000000000022,40
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.5,20.003017550126785,-0.32608392813716025,0.8,40
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.02,21.836585814041293,1.5074843357773484,0.0,40
