denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,pnp_hqs,fixed20p0,0.4,0.5,0.0,0.15,21.188012809924995,1.0781461853601408,0.0,144
wavelet,blur,pnp_hqs,fixed20p0,0.8,0.5,0.0,0.15,21.20343358889483,1.0935669643299741,0.0,144
wavelet,blur,pnp_hqs,fixed20p0,1.6,0.5,0.0,0.15,21.100063051195797,0.9901964266309426,0.02777777777777779,144
wavelet,blur,pnp_hqs,fixed25p0,0.1,0.5,0.0,0.15,21.323140513635995,1.2132738890711405,0.0,144
wavelet,blur,pnp_hqs,fixed25p0,0.2,0.5,0.0,0.15,21.21516311259375,1.1052964880288974,0.0,144
wavelet,blur,pnp_hqs,fixed25p0,0.4,0.5,0.0,0.15,21.21106367107562,1.1011970465107652,0.0,144
wavelet,blur,pnp_hqs,fixed25p0,0.8,0.5,0.0,0.15,21.058062370171697,0.9481957456068434,0.04861111111111116,144
wavelet,blur,pnp_hqs,fixed25p0,1.6,0.5,0.0,0.15,20.499861416062245,0.3899947914973894,0.33333333333333337,144
wavelet,blur,pnp_hqs,fixed30p0,0.1,0.5,0.0,0.15,21.244147046660736,1.134280422095883,0.0,144
wavelet,blur,pnp_hqs,fixed30p0,0.2,0.5,0.0,0.15,21.209894705255515,1.1000280806906597,0.0,144
wavelet,blur,pnp_hqs,fixed30p0,0.4,0.5,0.0,0.15,21.044093129373397,0.9342265048085445,0.05555555555555558,144
wavelet,blur,pnp_hqs,fixed30p0,0.8,0.5,0.0,0.15,20.53886408363571,0.428997459070852,0.32638888888888884,144
wavelet,blur,pnp_hqs,fixed30p0,1.6,0.5,0.0,0.15,19.919400359720573,-0.19046626484428242,0.6736111111111112,144
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.1,0.5,0.0,0.15,20.711299150570888,0.6014325260060318,0.02083333333333337,144
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.2,0.5,0.0,0.15,21.18647800396597,1.0766113794011127,0.0,144
