dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.999377634234456,28.959984049555874,0.0010691472749583264,0.0013868018804579318,0.19999999999999996,1.0393935846785793,10,29.709624666375923,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.496775286012017,28.959984049555874,0.0012088718721523979,0.0013868018804579318,0.19999999999999996,0.5367912364561427,10,29.176197273989427,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,28.64788156899491,28.959984049555874,0.0014631092684486695,0.0013868018804579318,0.7,-0.3121024805609672,10,28.34723238527973,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,28.395332266372662,28.959984049555874,0.0015680798395006509,0.0013868018804579318,1.0,-0.5646517831832139,10,28.04631828786888,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,28.460950654976102,28.959984049555874,0.0015279918726690896,0.0013868018804579318,1.0,-0.4990333945797712,10,28.158789557500896,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.36361074823399,28.959984049555874,0.0015818072793133248,0.0013868018804579318,1.0,-0.5963733013218825,10,28.00846430212072,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,28.373862095478188,28.959984049555874,0.0015792986615798823,0.0013868018804579318,1.0,-0.5861219540776894,10,28.015357326827402,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.35064858365205,28.959984049555874,0.0015853100310178427,0.0013868018804579318,1.0,-0.6093354659038258,10,27.998857923777663,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,32.65004976385927,28.959984049555874,0.000636025373200003,0.0013868018804579318,0.0,3.6900657143033926,10,31.965255585324897,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.77118827948995,28.959984049555874,0.0006156404291793651,0.0013868018804579318,0.0,3.8112042299340665,10,32.106728677343696,28.57985578126147
