dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,upright,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,16.492112523352397,9.715716015148704,0.058492265952548,0.129267911918437,0.0,6.776396508203692,10,12.329015540234774,8.885092663511303
val_images,rot45_padded,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,16.354259740984126,15.447961538512782,0.0279289803113305,0.0345461151806099,0.0,0.9062982024713429,10,15.53944920125936,14.616007833254908
val_images,rot45_padded,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,15.53985316072675,15.447961538512782,0.0340274265255744,0.0345461151806099,0.0,0.0918916222139673,10,14.68170895100627,14.616007833254908
val_images,upright,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.623932517826695,9.715716015148704,0.1044544132313946,0.129267911918437,0.0,0.9082165026779918,10,9.810732062193154,8.885092663511303
val_images,upright,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.750993824950116,9.715716015148704,0.1285106908727427,0.129267911918437,0.0,0.0352778098014093,10,8.910607416408013,8.885092663511303
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,31.05672928909802,28.959984049555874,0.000881696459634,0.0013868018804579,0.0,2.096745239542141,10,30.54680903071261,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,30.705278833654543,28.959984049555874,0.0009442926945721,0.0013868018804579,0.0,1.74529478409867,10,30.248933701775076,28.57985578126147
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,25.896807501878037,23.911559607575157,0.0029622019716421,0.0045853180648705,0.0,1.9852478943028764,10,25.283853333302456,23.3863053370668
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.120791983311975,23.911559607575157,0.0028588364284277,0.0045853180648705,0.0,2.209232375736822,10,25.43810692583052,23.3863053370668
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,32.78435870185668,28.959984049555874,0.0006075926120864,0.0013868018804579,0.0,3.824374652300808,10,32.163875155031064,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,32.703507627579235,28.959984049555874,0.0006162488952052,0.0013868018804579,0.0,3.743523578023357,10,32.10243846305714,28.57985578126147
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,27.54342786652281,23.911559607575157,0.0021022717264396,0.0045853180648705,0.0,3.63186825894766,10,26.77311150502621,23.3863053370668
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,27.550709914827586,23.911559607575157,0.0021002863090758,0.0045853180648705,0.0,3.63915030725243,10,26.77721498610732,23.3863053370668
