dataset,file,image_index,model,sigma,input_pose,input_angle_deg,input_pad,input_rotate_expand,input_height,input_width,eval_mask,eval_mask_pixels,eval_mask_fraction,group,group_size,group_expand,group_expand_policy,noisy_psnr,noisy_ssim,vanilla_psnr,vanilla_ssim,group_avg_psnr,group_avg_ssim,group_avg_minus_vanilla_psnr,group_avg_minus_vanilla_ssim,group_avg_vs_vanilla_mse,group_avg_vs_vanilla_psnr
val_images_circle,test004.png,3,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.61427889490931,0.5559231239029124,33.278076194721024,0.9207401517071302,33.31988757709031,0.9213965693606606,0.04181138236928916,0.0006564176535304167,6.3246477076995975e-06,51.989636603281326
val_images_circle,test004.png,3,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.61086745605535,0.5565255676901109,33.283313631089854,0.9209496156675362,33.322237068129596,0.9217556204952588,0.03892343703974177,0.0008060048277226395,5.9023059751026345e-06,52.289782804588505
val_images_circle,test004.png,3,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.61912746301545,0.5569672886329361,33.34871944957966,0.9210573993151701,33.36739221502109,0.9215043466302413,0.018672765441429817,0.0004469473150712222,5.962913620132434e-06,52.24541481878737
val_images_circle,test005.png,4,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.584735052728995,0.6742678509617762,30.08017964908507,0.8989782480035109,28.08821163889714,0.8380775061192701,-1.9919680101879322,-0.06090074188424077,0.0005766827516773184,32.3906303794819
val_images_circle,test005.png,4,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.610620676806825,0.6769387450399278,29.861947427504152,0.8927734954447686,29.8895990887749,0.8934959701344937,0.027651661270748917,0.0007224746897250833,1.3134887300526039e-05,48.81573649179367
val_images_circle,test005.png,4,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.61740528434856,0.6770975152836674,29.716374990310594,0.8901087512517463,29.780029101655874,0.8913431121502837,0.06365411134527932,0.0012343608985374566,1.3054834241080776e-05,48.84228638099249
val_images_circle,test005.png,4,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.62807941292511,0.6783370488806616,29.87819229602661,0.8933999749678599,29.902002097203713,0.8940088779111451,0.02380980117710152,0.0006089029432851945,1.3976260618884353e-05,48.54609009550022
val_images_circle,test006.png,5,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.606926374780965,0.44544239927928597,35.76100743652772,0.9454965803169658,30.00327942531782,0.7431587506335608,-5.757728011209899,-0.20233782968340497,0.0007337947359355298,31.34425408091589
val_images_circle,test006.png,5,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.62732712492576,0.45309617247762557,35.14132077677538,0.9374326874938192,35.18688919910906,0.9381484985351562,0.0455684223336803,0.000715811041337,7.05660904368645e-06,51.51403943055165
val_images_circle,test006.png,5,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.61062917008972,0.4531665799974038,35.01979416971219,0.9367651785824669,35.127368049628856,0.9377931365670626,0.10757387991666434,0.001027957984595762,6.118704504041617e-06,52.13340520060899
val_images_circle,test006.png,5,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.62837903292538,0.45126888420008404,35.14444529454393,0.9373202746427511,35.17592803004654,0.9381336260445511,0.031482735502613934,0.0008133514017999444,6.430771325632364e-06,51.9173693339371
val_images_circle,test007.png,6,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.61797549824176,0.7021032866352668,31.310762547246235,0.912204312540177,28.187560359648167,0.820834994498838,-3.123202187598068,-0.09136931804133896,0.0007989758265771221,30.974663602892374
val_images_circle,test007.png,6,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.654354129747897,0.7041485943371737,31.109701586394415,0.9095688831957081,31.149280675362945,0.9102170920070214,0.03957908896853013,0.0006482088113133333,8.576987252299545e-06,50.666652353997975
