dataset,denoiser,noise_sigma,angle_index,angle_deg,estimator,group_size,mean_se,mean_psnr,n,psnr_from_mean_se,save_dir
val_images,nlm,15.0,11,55.0,group_avg,32,0.0002317716691212,36.694694579835655,20,36.34939651617828,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,11,55.0,vanilla,0,0.0002419901695396,36.51173669291327,20,36.16202276174084,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,12,60.0,group_avg,4,0.0002587001931038,36.21980287667019,20,35.87203247109155,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,12,60.0,group_avg,8,0.0002573730230273,36.23814547800644,20,35.894369763296964,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,12,60.0,group_avg,16,0.0002562076090719,36.25753866377248,20,35.91407976352067,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,12,60.0,group_avg,32,0.0002557173818455,36.26645927864048,20,35.92239750725893,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,12,60.0,vanilla,0,0.0002672929950994,36.077128797298926,20,35.73012422573478,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,13,65.0,group_avg,4,0.0002869907297301,35.76635692510326,20,35.421321314613664,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,13,65.0,group_avg,8,0.0002847810088242,35.79960995853317,20,35.45488975842148,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,13,65.0,group_avg,16,0.0002829941685948,35.82863589080538,20,35.48222513497532,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,13,65.0,group_avg,32,0.0002830043015455,35.82632325659337,20,35.48206963333304,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,13,65.0,vanilla,0,0.0002965319508949,35.623167959912465,20,35.27928505167185,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,14,70.0,group_avg,4,0.0003218412380861,35.26651180129286,20,34.92358309752717,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,14,70.0,group_avg,8,0.0003186413682067,35.31196309176004,20,34.9669784178782,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,14,70.0,group_avg,16,0.0003168146502566,35.33789581886836,20,34.991947438170456,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,14,70.0,group_avg,32,0.0003168136605575,35.33623930547337,20,34.99196100514209,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,14,70.0,vanilla,0,0.0003325573272388,35.12230147340967,20,34.781334789098295,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,15,75.0,group_avg,4,0.0003655423630407,34.70836290137607,20,34.37062285002433,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,15,75.0,group_avg,8,0.0003610097914389,34.76828771389758,20,34.424810188415535,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,15,75.0,group_avg,16,0.0003597815292781,34.78217438509856,20,34.43961136539289,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,15,75.0,group_avg,32,0.0003590690690814,34.791382614937895,20,34.448220042468215,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,15,75.0,vanilla,0,0.0003777646112825,34.56372343199805,20,34.227787289038275,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,16,80.0,group_avg,4,0.0004198860684454,34.108341383665845,20,33.768685347395994,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,16,80.0,group_avg,8,0.0004140386815783,34.175677624047566,20,33.82959083006496,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,16,80.0,group_avg,16,0.0004130529352807,34.184549390613505,20,33.83994287260893,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,16,80.0,group_avg,32,0.0004121930731917,34.19441591374513,20,33.8489931071271,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,16,80.0,vanilla,0,0.0004339309112286,33.96389125550148,20,33.625794116411335,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,17,85.0,group_avg,4,0.000488397960551,33.44948614763858,20,33.11226158247344,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,17,85.0,group_avg,8,0.0004806066090241,33.528404018965524,20,33.182102613245334,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,17,85.0,group_avg,16,0.0004794616466388,33.537614994405935,20,33.19246127428278,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,17,85.0,group_avg,32,0.0004792884290218,33.5377640266412,20,33.19403055616236,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,17,85.0,vanilla,0,0.0005047012846916,33.30530191982313,20,32.969655897901845,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,18,90.0,group_avg,4,0.0005474400898766,32.99683107500472,20,32.61663401710877,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,18,90.0,group_avg,8,0.000545329282779,33.01036028480182,20,32.63341181191019,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,18,90.0,group_avg,16,0.0005497990072041,32.9626472040975,20,32.59796048716207,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,18,90.0,group_avg,32,0.0005526701454827,32.93401858066507,20,32.575339948035925,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,18,90.0,vanilla,0,0.0005661397051119,32.8504708872007,20,32.47076385644767,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,19,95.0,group_avg,4,0.0004884897181764,33.44924052156328,20,33.111445729610445,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,19,95.0,group_avg,8,0.0004816630547866,33.51712117810848,20,33.17256664288938,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,19,95.0,group_avg,16,0.000480053724721,33.5318814872718,20,33.187101562822306,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,19,95.0,group_avg,32,0.0004796616025269,33.53449284099647,20,33.1906504592461,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,19,95.0,vanilla,0,0.0005047849994152,33.30499722061031,20,32.968935594056944,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,20,100.0,group_avg,4,0.0004197221005621,34.11185351829515,20,33.770381623122525,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,20,100.0,group_avg,8,0.0004153692537534,34.1589260507425,20,33.815656537310794,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,20,100.0,group_avg,16,0.0004137987915244,34.17532492668023,20,33.83210782000499,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,20,100.0,group_avg,32,0.0004126129494923,34.18944852468032,20,33.844571462009455,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,20,100.0,vanilla,0,0.0004336102603238,33.96861702867734,20,33.62900449833806,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,21,105.0,group_avg,4,0.0003654917535161,34.71231437683187,20,34.37122417455281,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,21,105.0,group_avg,8,0.0003624634495436,34.74753154255561,20,34.4073578071182,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,21,105.0,group_avg,16,0.0003605455875048,34.771562146518804,20,34.43039815132942,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,21,105.0,group_avg,32,0.0003595727205798,34.78489173844333,20,34.44213263966102,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,21,105.0,vanilla,0,0.0003776385569938,34.568651180145665,20,34.229236705318456,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,22,110.0,group_avg,4,0.0003213572229984,35.275963188665216,20,34.930119342066426,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
