E_x_EhSE_hx,E_x_SEavg_x,E_x_e1,E_x_EhSE_minus_SEavg,E_x_EhSE_hx_psnr,E_x_SEavg_x_psnr,sigma,dataset,model,group,averaging,num_noise,noise_sigma,noise_mask,se_mask,max_images,save_dir
0.002579903683358,0.0024676840094178,0.0001182254418957,0.0001122196739401,25.88396507434811,26.077104531283474,25.0,val_images_circle,nlm,fourier_rotation,16,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/nlm
0.002584137554569,0.0024701366802766,0.0001200706036511,0.0001140008742923,25.87684372410579,26.072790152230667,25.0,val_images_circle,nlm,fourier_rotation,32,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/nlm
0.0089958299082712,0.0026497102894151,0.0012391144932507,0.006346119618856,20.45958764730132,25.768016077939212,25.0,val_images,restormer,fourier_rotation,8,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/restormer
0.0087699372129385,0.0032971441751548,0.0013801406403752,0.0054727930377837,20.570035158895948,24.81862061924125,25.0,val_images,restormer,fourier_rotation,16,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/restormer
0.0088699094120447,0.0036491067473396,0.001406286370426,0.005220802664705,20.52080815574136,24.378134320306657,25.0,val_images,restormer,fourier_rotation,32,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/restormer
0.0075394807887326,0.002920397279501,0.0008774823533058,0.0046190835092315,21.22658561073525,25.34558064798513,25.0,val_images_circle,restormer,fourier_rotation,8,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/restormer
0.0079828866374708,0.0034411827098342,0.0009605373647678,0.0045417039276366,20.97840037968133,24.632922678712976,25.0,val_images_circle,restormer,fourier_rotation,16,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/restormer
0.0082271746486087,0.0036898541060268,0.000959305233116,0.0045373205425819,20.84749283279439,24.32990805168873,25.0,val_images_circle,restormer,fourier_rotation,32,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/restormer
0.0022452465517431,0.0021197962367629,0.0001015687069744,0.0001254503149801,26.48735961929123,26.737058831761903,25.0,val_images,tv,fourier_rotation,8,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/tv
0.0022439243538687,0.0021084200925857,0.0001087428114028,0.0001355042612829,26.48991787902128,26.76042853746428,25.0,val_images,tv,fourier_rotation,16,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/tv
0.0022583498567098,0.0021104721937124,0.0001187103274963,0.0001478776629973,26.46208777615295,26.75620365469676,25.0,val_images,tv,fourier_rotation,32,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/tv
0.0025097390313604,0.0024142649703909,9.492786061719396e-05,9.547406096949586e-05,26.00371435145436,26.17215066938109,25.0,val_images_circle,tv,fourier_rotation,8,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/tv
0.0025005992799474,0.0024015792864033,9.851648513003216e-05,9.901999354403748e-05,26.01955898213936,26.195030708700862,25.0,val_images_circle,tv,fourier_rotation,16,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/tv
0.0024917667217603,0.0023757484495265,0.0001199105677784,0.0001160182722337,26.034926185917065,26.241995454947222,25.0,val_images_circle,tv,fourier_rotation,32,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/tv
0.0064926381060218,0.0051880820965002,0.0012970936761538,0.0013045560095216,21.875788036477843,22.849931602334944,25.0,val_images,wavelet,fourier_rotation,8,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/wavelet
