dataset,eval_mask,input_pose,input_rotate_expand,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.232345289443835,22.13712774680254,0.8189456916162852,0.6464987379532782,0.0026828068467604246,0.006477052811152084,0.0,4.095217542641291,0.17244695366300705,10,25.714105939720312,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.22519536628762,22.13712774680254,0.8188042595091056,0.6464987379532782,0.002684368862074139,0.006477052811152084,0.0,4.088067619485076,0.1723055215558275,10,25.711578075207026,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,25.95654518608095,22.13712774680254,0.8098479536027348,0.6464987379532782,0.0028104058315171973,0.006477052811152084,0.0,3.819417439278412,0.16334921564945662,10,25.512309620656207,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.192074943252074,22.13712774680254,0.8175794048193069,0.6464987379532782,0.0027002954625111224,0.006477052811152084,0.0,4.054947196449533,0.17108066686602869,10,25.685887133529533,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.220014227749765,22.13712774680254,0.81872794364236,0.6464987379532782,0.0026869819931355323,0.006477052811152084,0.0,4.082886480947224,0.17222920568908173,10,25.707352439903815,21.886225618779534
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,11.669533710753008,9.5260567439553,0.259257006093099,0.1336941065479999,0.08756523124306484,0.12726566291162852,0.0,2.1434769667977083,0.12556289954509908,10,10.57668301099854,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,11.683516197369899,9.5260567439553,0.2588890876230945,0.1336941065479999,0.08740789889021797,0.12726566291162852,0.0,2.157459453414598,0.12519498107509458,10,10.584493192027972,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,16.233490442119482,9.5260567439553,0.4477975203187011,0.1336941065479999,0.048724067276442615,0.12726566291162852,0.0,6.707433698164181,0.31410341377070117,10,13.122564658187816,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,16.396176280168028,9.5260567439553,0.4368128444887214,0.1336941065479999,0.048087467231192546,0.12726566291162852,0.0,6.8701195362127265,0.30311873794072147,10,13.179680966314155,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,9.692346039302194,9.5260567439553,0.14231477138949936,0.1336941065479999,0.12340824828088874,0.12726566291162852,0.0,0.16628929534689432,0.00862066484149945,10,9.086558122382659,8.95288755965786
