EhSE_hx,SEavg_x,e1,vanilla_SE,EhSE_minus_SEavg,vanilla_minus_SEavg,EhSE_hx_psnr,SEavg_x_psnr,vanilla_psnr,experiment,denoiser,file,noise_id,sigma,clip_denoised,group,identity_error,identity_abs_error,gain_over_e
0.0017260058525157196,0.001355588089631797,0.00037041772586276334,0.0017306849938487775,0.0003704177628839226,0.00037509690421698037,27.62957736018855,28.67872255584078,27.617819719181533,exp1_c4_identity,wavelet,test005.png,1,15.0,False,exact_rot90_C4,3.702115925017374e-11,3.702115925017374e-11,1.000000099944351
0.0007921690095895251,0.0005479920113006064,0.00024417699828891873,0.0007888977274092883,0.00024417699828891873,0.00024090571610868187,31.01182151615545,32.61225772671385,31.02979295017121,exp1_c4_identity,wavelet,test006.png,0,15.0,False,exact_rot90_C4,0.0,0.0,1.0
0.0007896790959954654,0.0005444805543500282,0.00024519856015601686,0.0007868781491323463,0.00024519854164543723,0.00024239759478231814,31.025493582690427,32.64017626081362,31.040925144726828,exp1_c4_identity,wavelet,test006.png,1,15.0,False,exact_rot90_C4,-1.851057962508687e-11,1.851057962508687e-11,0.9999999245077964
0.0016575641320917235,0.001239636930494445,0.0004179271460655395,0.001651381820631472,0.0004179272015972783,0.00041174489013702677,27.805296594995195,29.067054940082294,27.821525006792456,exp1_c4_identity,wavelet,test007.png,0,15.0,False,exact_rot90_C4,5.55317388210505e-11,5.55317388210505e-11,1.0000001328742087
0.0016559702971456372,0.0012408206450388603,0.00041514959657503787,0.0016557449863707165,0.0004151496521067767,0.00041492434133185606,27.809474573466918,29.062909892500073,27.81006551331552,exp1_c4_identity,wavelet,test007.png,1,15.0,False,exact_rot90_C4,5.55317388210505e-11,5.55317388210505e-11,1.0000001337632007
0.0020863638558089133,0.0017618137172699308,0.00032455006449666425,0.002089646151784014,0.00032455013853898264,0.000327832434514083,26.80609949605531,27.540400129719814,26.799272485004515,exp1_c4_identity,wavelet,test008.png,0,15.0,False,exact_rot90_C4,7.404231839192726e-11,7.404231839192726e-11,1.0000002281383567
0.0020835530242962865,0.0017607298858130502,0.0003228229718880201,0.002088510934958157,0.0003228231384832365,0.0003277810491451067,26.811954427150976,27.54307264190946,26.801632465278736,exp1_c4_identity,wavelet,test008.png,1,15.0,False,exact_rot90_C4,1.665952164089414e-10,1.665952164089414e-10,1.0000005160575018
0.0015454192293956979,0.0011504143078797972,0.0003950049585370599,0.001541846576468954,0.00039500492151590066,0.00039143226858915687,28.109536882030092,29.391457255402933,28.119588391955162,exp1_c4_identity,wavelet,test009.png,0,15.0,False,exact_rot90_C4,-3.702115925017374e-11,3.702115925017374e-11,0.9999999062767227
0.001546031226178513,0.0011498151574392261,0.0003962160502287071,0.0015389275321079717,0.00039621606873928674,0.00038911237466874535,28.107817386065264,29.393719705649556,28.127818305561934,exp1_c4_identity,wavelet,test009.png,1,15.0,False,exact_rot90_C4,1.851057962508687e-11,1.851057962508687e-11,1.0000000467183991
0.0011908178682742184,0.0008406844797936926,0.00035013344401226476,0.0011907907687856807,0.00035013338848052594,0.00035010628899198804,29.241546573687174,30.753669701898016,29.2416454073759,exp1_c4_identity,wavelet,test010.png,0,15.0,False,exact_rot90_C4,-5.55317388210505e-11,5.55317388210505e-11,0.999999841398359
0.0011707728541756608,0.0008212086845284886,0.00034956409560485364,0.0011717461959828946,0.0003495641696471721,0.0003505375114544059,29.315273557790643,30.855464664825742,29.311664477214023,exp1_c4_identity,wavelet,test010.png,1,15.0,False,exact_rot90_C4,7.404231844613737e-11,7.404231844613737e-11,1.0000002118132822
0.0013051643082446778,0.0012958925070064647,9.271866603697348e-06,0.001303650809214066,9.271801238213127e-06,7.758302207601221e-06,28.84334811182301,28.874310212663993,28.848387214415638,exp1_c4_identity,restormer,test001.png,0,15.0,True,exact_rot90_C4,-6.536548422146691e-11,6.536548422146691e-11,0.9999929501267636
0.001310532117181264,0.0013015613349885453,8.970925649710563e-06,0.0013114628661448325,8.970782192718645e-06,9.901531156287302e-06,28.825523313418138,28.855353613085455,28.82244001876301,exp1_c4_identity,restormer,test001.png,1,15.0,True,exact_rot90_C4,-1.434569919182404e-10,1.434569919182404e-10,0.9999840086745203
0.0006767533615200711,0.0006729342772470804,3.8190206428733895e-06,0.0006786319076910222,3.819084272990773e-06,5.697630443941914e-06,31.695695783561384,31.72027349479922,31.683657246962554,exp1_c4_identity,restormer,test002.png,0,15.0,True,exact_rot90_C4,6.363011738330909e-11,6.363011738330909e-11,1.0000166613703705
0.0006766445563331681,0.0006727902649377736,3.8543148228468765e-06,0.0006786059928795789,3.8542913953945665e-06,5.815727941805325e-06,31.696394077710544,31.721203012683993,31.68382309348963,exp1_c4_identity,restormer,test002.png,1,15.0,True,exact_rot90_C4,-2.3427452310048483e-11,2.3427452310048483e-11,0.9999939217595378
0.0006826583844978785,0.0006756830242757206,6.9753217548596155e-06,0.0006831086543467072,6.9753602221578514e-06,7.425630070986609e-06,31.657965713446124,31.70256992065098,31.655102125261074,exp1_c4_identity,restormer,test003.png,0,15.0,True,exact_rot90_C4,3.846729823594981e-11,3.846729823594981e-11,1.0000055147704419
0.0006824422364598611,0.0006758051200587782,6.637109459615562e-06,0.000683171146063445,6.637116401082913e-06,7.366026004666832e-06,31.659341024533507,31.701785222313635,31.654704844883295,exp1_c4_identity,restormer,test003.png,1,15.0,True,exact_rot90_C4,6.941467350937247e-12,6.941467350937247e-12,1.0000010458569943
0.00041215415905203616,0.0004089396858405991,3.2144750914178145e-06,0.0004127145113177605,3.2144732114370735e-06,3.774825477161397e-06,33.84940313327895,33.883407409857796,33.84350260770191,exp1_c4_identity,restormer,test004.png,0,15.0,True,exact_rot90_C4,-1.879980741055303e-12,1.879980741055303e-12,0.9999994151515605
0.00040760519337003235,0.000404278573812074,3.3266330070513006e-06,0.0004077498998260742,3.3266195579583082e-06,3.4713260140001917e-06,33.89760291207371,33.933192750446665,33.896061369829376,exp1_c4_identity,restormer,test004.png,1,15.0,True,exact_rot90_C4,-1.3449092992335037e-11,1.3449092992335037e-11,0.9999959571455692
0.0009533417923542722,0.0009478628829189124,5.478890057096751e-06,0.0009546105815225401,5.478909435359772e-06,6.747698603627743e-06,30.207513680698316,30.232544828081913,30.201737559415122,exp1_c4_identity,restormer,test005.png,0,15.0,True,exact_rot90_C4,1.9378263021295895e-11,1.9378263021295895e-11,1.0000035368957616
0.0009574133979541992,0.0009515477469792061,5.865705349820622e-06,0.0009580598429256543,5.86565097499304e-06,6.5120959464481975e-06,30.189004993348885,30.215694147029364,30.18607362904033,exp1_c4_identity,restormer,test005.png,1,15.0,True,exact_rot90_C4,-5.437482758177708e-11,5.437482758177708e-11,0.9999907300444978
