denoiser,input_pose_deg,pose_method,mean_SEavg_x,mean_e1,mean_EhSE_minus_SEavg,mean_SEavg_psnr,n
wavelet,0.0,rot90,0.00114748141945633,0.0004196840298323781,0.00042394410945967005,29.641181584972223,20
wavelet,5.0,fft3shear,0.001175838914749916,0.0004200870605663703,0.00042299531383790023,29.519587499102574,20
wavelet,10.0,fft3shear,0.0011815801376088217,0.0004202672630255489,0.0004230370806469506,29.49646736118486,20
wavelet,15.0,fft3shear,0.0011871517813458736,0.0004205315893589354,0.00042321081423701384,29.472561688379166,20
wavelet,20.0,fft3shear,0.001189015785605489,0.00042087078543363973,0.00042351602407773034,29.46213360619376,20
wavelet,25.0,fft3shear,0.001192924061255236,0.0004207269611224071,0.000423290966666368,29.445045630780136,20
wavelet,30.0,fft3shear,0.0011945696628882386,0.0004221157017387767,0.0004245822255958331,29.437343034002744,20
wavelet,35.0,fft3shear,0.0011992502295359259,0.00042094667371960024,0.0004235381273294513,29.421287211893578,20
wavelet,40.0,fft3shear,0.0012031342859433211,0.000420018001643063,0.0004224962912872792,29.404331186424276,20
wavelet,45.0,fft3shear,0.0011988895990198798,0.0004207792874072828,0.0004231877833738725,29.412906928591077,20
wavelet,50.0,fft3shear,0.00120085310504909,0.00042065488254511095,0.0004233233888720706,29.4049653263318,20
wavelet,55.0,fft3shear,0.0012055503238141874,0.0004199353270315469,0.0004226450321241454,29.387471227407854,20
wavelet,60.0,fft3shear,0.0012035718094070354,0.000421328020929264,0.0004238686355793104,29.392215692089547,20
wavelet,65.0,fft3shear,0.0011972926913175791,0.000421189874391251,0.0004238105422076684,29.419930945167287,20
wavelet,70.0,fft3shear,0.0011910949716508667,0.0004209931536692908,0.0004236979914049829,29.44773117394778,20
wavelet,75.0,fft3shear,0.0011867174194891551,0.00042040040152625054,0.00042323309542168126,29.4685579591239,20
wavelet,80.0,fft3shear,0.001182108873804585,0.000420535902555365,0.0004234896421055342,29.48735271823201,20
wavelet,85.0,fft3shear,0.001176562789475848,0.00042002279808131136,0.000422987807335107,29.515514639945177,20
wavelet,90.0,fft3shear,0.0011453434382569614,0.0004197682334177694,0.0004241166646199593,29.6462025422665,20
wavelet,90.0,rot90,0.00114585059852114,0.000420807649664423,0.00042504760794461377,29.64728818788684,20
