dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,9.707493833084031,9.684471187083723,0.12080967602874368,0.11963152922753628,0.1295709492648071,0.1300656649077238,0.0,0.023022646000308546,0.0011781468012074068,10,8.874923594858494,8.858373345616485
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.66396517010429,23.911001776551096,0.7022596295522698,0.6659437975223607,0.0037247961164644182,0.004585852159647656,0.19999999999999996,0.7529633935531954,0.03631583202990915,10,24.288974941687783,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.922055910084822,23.911001776551096,0.6623027154131126,0.6659437975223607,0.004546943329679849,0.004585852159647656,0.6,0.011054133533727039,-0.003641082109247995,10,23.422804585419122,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,23.715837338623885,23.911001776551096,0.6521784033539291,0.6659437975223607,0.00481056876845337,0.004585852159647656,0.9,-0.19516443792721105,-0.01376539416843155,10,23.178035726079464,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.59211937154127,23.911001776551096,0.6332073069879729,0.6659437975223607,0.004941738063264194,0.004585852159647656,0.9,-0.3188824050098244,-0.03273649053438771,10,23.061202780949625,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.082072655173988,23.911001776551096,0.7817509429585948,0.6659437975223607,0.0028812281826819603,0.004585852159647656,0.0,2.1710708786228965,0.11580714543623423,10,25.404223458308607,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,25.9141829085364,23.911001776551096,0.7698392598655449,0.6659437975223607,0.002998447476890658,0.004585852159647656,0.0,2.003181131985307,0.10389546234318432,10,25.231035541953336,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.92046398559905,23.911001776551096,0.7706198166624568,0.6659437975223607,0.002971361680978654,0.004585852159647656,0.0,2.009462209047953,0.10467601914009624,10,25.270444816554335,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,25.64920110012455,23.911001776551096,0.7475234585996853,0.6659437975223607,0.003129540270716298,0.004585852159647656,0.0,1.7381993235734552,0.08157966107732466,10,25.045194556021873,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,25.432833112718914,23.911001776551096,0.7398480863142078,0.6659437975223607,0.0032166652968632103,0.004585852159647656,0.0,1.5218313361678195,0.07390428879184721,10,24.925941263183184,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,24.841114440248518,23.911001776551096,0.7019046286131567,0.6659437975223607,0.003640071833739237,0.004585852159647656,0.19999999999999996,0.9301126636974221,0.03596083109079606,10,24.38890045832059,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.541254535456424,23.911001776551096,0.7571169643088451,0.6659437975223607,0.0031446769606091897,0.004585852159647656,0.0,1.6302527589053326,0.09117316678648454,10,25.024239611664186,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,24.870989354195473,23.911001776551096,0.7197178278880966,0.6659437975223607,0.003555651430201938,0.004585852159647656,0.19999999999999996,0.9599875776443778,0.053774030365735984,10,24.490808206376503,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.302777695852225,23.911001776551096,0.6985392136385127,0.6659437975223607,0.004113175944481617,0.004585852159647656,0.19999999999999996,0.39177591930113065,0.03259541611615209,10,23.85822712790077,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.745011773437305,23.911001776551096,0.65938846939139,0.6659437975223607,0.004777756101477444,0.004585852159647656,0.9,-0.16599000311379086,-0.00655532813097065,10,23.20776024214873,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,27.4420252554699,23.911001776551096,0.8210447653350691,0.6659437975223607,0.002145032222843491,0.004585852159647656,0.0,3.5310234789188044,0.1551009678127085,10,26.68566179424242,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,27.4958739098849,23.911001776551096,0.8220091676867378,0.6659437975223607,0.002125928747852462,0.004585852159647656,0.0,3.5848721333338034,0.1560653701643772,10,26.724512952845267,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,27.482974792565063,23.911001776551096,0.8203937008989579,0.6659437975223607,0.0021285833844159495,0.004585852159647656,0.0,3.5719730160139647,0.1544499033765973,10,26.71909332246343,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,27.265835837394338,23.911001776551096,0.816883927646194,0.6659437975223607,0.00219806089528545,0.004585852159647656,0.0,3.354834060843241,0.1509401301238334,10,26.579602800107523,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,27.46560612261583,23.911001776551096,0.8214561990774023,0.6659437975223607,0.002135292316247294,0.004585852159647656,0.0,3.554604346064738,0.15551240155504173,10,26.70542662726493,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,27.481897318725316,23.911001776551096,0.8208036318579544,0.6659437975223607,0.0021291912317348578,0.004585852159647656,0.0,3.5708955421742203,0.1548598343355937,10,26.71785330972422,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,27.093498775654314,23.911001776551096,0.8121661797041471,0.6659437975223607,0.002284706814371041,0.004585852159647656,0.0,3.182496999103219,0.1462223821817864,10,26.411695229771674,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,27.38742754162273,23.911001776551096,0.8198229316439013,0.6659437975223607,0.0021605644181849713,0.004585852159647656,0.0,3.4764257650716344,0.15387913412154067,10,26.65432780477399,23.38579950322209
