signal,operator,angle_deg,psnr
pure_gaussian_noise,scipy_ndimage_rotate,135.0,19.044556039949615
pure_gaussian_noise,scipy_ndimage_rotate,140.0,12.867239664588226
pure_gaussian_noise,scipy_ndimage_rotate,145.0,12.843673295802478
pure_gaussian_noise,scipy_ndimage_rotate,150.0,12.845723382088885
pure_gaussian_noise,scipy_ndimage_rotate,155.0,19.549210915037648
pure_gaussian_noise,scipy_ndimage_rotate,160.0,19.84512921995024
pure_gaussian_noise,scipy_ndimage_rotate,165.0,12.866307697373806
pure_gaussian_noise,scipy_ndimage_rotate,170.0,12.883510681226234
pure_gaussian_noise,scipy_ndimage_rotate,175.0,12.884710080648905
pure_gaussian_noise,scipy_ndimage_rotate,180.0,99.0
pure_gaussian_noise,scipy_ndimage_rotate,185.0,12.88951728747798
pure_gaussian_noise,scipy_ndimage_rotate,190.0,12.880734098218527
pure_gaussian_noise,scipy_ndimage_rotate,195.0,12.873644559205548
pure_gaussian_noise,scipy_ndimage_rotate,200.0,19.871691285244502
pure_gaussian_noise,scipy_ndimage_rotate,205.0,19.56527638399048
pure_gaussian_noise,scipy_ndimage_rotate,210.0,12.864429031228868
pure_gaussian_noise,scipy_ndimage_rotate,215.0,12.852096600129206
pure_gaussian_noise,scipy_ndimage_rotate,220.0,12.852329046081357
pure_gaussian_noise,scipy_ndimage_rotate,225.0,19.044556039949615
pure_gaussian_noise,scipy_ndimage_rotate,230.0,12.867239664588226
pure_gaussian_noise,scipy_ndimage_rotate,235.0,12.843673295802478
pure_gaussian_noise,scipy_ndimage_rotate,240.0,12.845723382088885
pure_gaussian_noise,scipy_ndimage_rotate,245.0,19.549210915037648
pure_gaussian_noise,scipy_ndimage_rotate,250.0,19.84512921995024
pure_gaussian_noise,scipy_ndimage_rotate,255.0,12.866307697373806
pure_gaussian_noise,scipy_ndimage_rotate,260.0,12.883510681226234
pure_gaussian_noise,scipy_ndimage_rotate,265.0,12.884710080648905
pure_gaussian_noise,scipy_ndimage_rotate,270.0,99.0
pure_gaussian_noise,scipy_ndimage_rotate,275.0,12.88951728747798
pure_gaussian_noise,scipy_ndimage_rotate,280.0,12.880734098218527
pure_gaussian_noise,scipy_ndimage_rotate,285.0,12.873644559205548
pure_gaussian_noise,scipy_ndimage_rotate,290.0,19.871691285244502
pure_gaussian_noise,scipy_ndimage_rotate,295.0,19.56527638399048
pure_gaussian_noise,scipy_ndimage_rotate,300.0,12.864429031228868
pure_gaussian_noise,scipy_ndimage_rotate,305.0,12.852096600129206
pure_gaussian_noise,scipy_ndimage_rotate,310.0,12.852329046081357
pure_gaussian_noise,scipy_ndimage_rotate,315.0,19.044556039949615
pure_gaussian_noise,scipy_ndimage_rotate,320.0,12.867239664588226
pure_gaussian_noise,scipy_ndimage_rotate,325.0,12.843673295802478
pure_gaussian_noise,scipy_ndimage_rotate,330.0,12.845723382088885
pure_gaussian_noise,scipy_ndimage_rotate,335.0,19.549210915037648
pure_gaussian_noise,scipy_ndimage_rotate,340.0,19.84512921995024
pure_gaussian_noise,scipy_ndimage_rotate,345.0,12.866307697373806
pure_gaussian_noise,scipy_ndimage_rotate,350.0,12.883510681226234
pure_gaussian_noise,scipy_ndimage_rotate,355.0,12.884710080648905
pure_gaussian_noise,scipy_ndimage_rotate,360.0,99.0
