signal,operator,angle_deg,psnr
astronaut,scipy_ndimage_rotate,230.0,25.145720418604448
astronaut,scipy_ndimage_rotate,235.0,25.137611666425173
astronaut,scipy_ndimage_rotate,240.0,25.16752596520146
astronaut,scipy_ndimage_rotate,245.0,31.54702459552075
astronaut,scipy_ndimage_rotate,250.0,31.436933605443716
astronaut,scipy_ndimage_rotate,255.0,25.272454528153602
astronaut,scipy_ndimage_rotate,260.0,25.287731383845966
astronaut,scipy_ndimage_rotate,265.0,25.290258373000558
astronaut,scipy_ndimage_rotate,270.0,99.0
astronaut,scipy_ndimage_rotate,275.0,25.294124496544637
astronaut,scipy_ndimage_rotate,280.0,25.286269313556748
astronaut,scipy_ndimage_rotate,285.0,25.2759719133973
astronaut,scipy_ndimage_rotate,290.0,31.406187128269593
astronaut,scipy_ndimage_rotate,295.0,31.585650703417983
astronaut,scipy_ndimage_rotate,300.0,25.1706932824658
astronaut,scipy_ndimage_rotate,305.0,25.142221672682844
astronaut,scipy_ndimage_rotate,310.0,25.142446684320117
astronaut,scipy_ndimage_rotate,315.0,35.39144293803676
astronaut,scipy_ndimage_rotate,320.0,25.145720418604448
astronaut,scipy_ndimage_rotate,325.0,25.137611666425173
astronaut,scipy_ndimage_rotate,330.0,25.16752596520146
astronaut,scipy_ndimage_rotate,335.0,31.54702459552075
astronaut,scipy_ndimage_rotate,340.0,31.436933605443716
astronaut,scipy_ndimage_rotate,345.0,25.272454528153602
astronaut,scipy_ndimage_rotate,350.0,25.287731383845966
astronaut,scipy_ndimage_rotate,355.0,25.290258373000558
astronaut,scipy_ndimage_rotate,360.0,99.0
