signal,operator,angle_deg,psnr
astronaut_sigma15,fourier_rotation,350.0,55.810071950971576
astronaut_sigma15,fourier_rotation,355.0,54.878010412437106
astronaut_sigma15,fourier_rotation,360.0,99.0
astronaut_sigma15,scipy_ndimage_rotate,0.0,99.0
astronaut_sigma15,scipy_ndimage_rotate,5.0,22.528902950254736
astronaut_sigma15,scipy_ndimage_rotate,10.0,22.51478863310065
astronaut_sigma15,scipy_ndimage_rotate,15.0,22.51688498762562
astronaut_sigma15,scipy_ndimage_rotate,20.0,29.07479063521165
astronaut_sigma15,scipy_ndimage_rotate,25.0,29.060281826972876
astronaut_sigma15,scipy_ndimage_rotate,30.0,22.441000890791855
astronaut_sigma15,scipy_ndimage_rotate,35.0,22.43732022825644
astronaut_sigma15,scipy_ndimage_rotate,40.0,22.42924993897524
astronaut_sigma15,scipy_ndimage_rotate,45.0,30.291458811357096
astronaut_sigma15,scipy_ndimage_rotate,50.0,22.43473934875578
astronaut_sigma15,scipy_ndimage_rotate,55.0,22.43659219619453
astronaut_sigma15,scipy_ndimage_rotate,60.0,22.44074510465068
astronaut_sigma15,scipy_ndimage_rotate,65.0,29.0091150285281
astronaut_sigma15,scipy_ndimage_rotate,70.0,29.069628886759098
astronaut_sigma15,scipy_ndimage_rotate,75.0,22.508303851957763
astronaut_sigma15,scipy_ndimage_rotate,80.0,22.51535557406854
astronaut_sigma15,scipy_ndimage_rotate,85.0,22.52433038325385
astronaut_sigma15,scipy_ndimage_rotate,90.0,99.0
astronaut_sigma15,scipy_ndimage_rotate,95.0,22.528902950254736
astronaut_sigma15,scipy_ndimage_rotate,100.0,22.51478863310065
astronaut_sigma15,scipy_ndimage_rotate,105.0,22.51688498762562
astronaut_sigma15,scipy_ndimage_rotate,110.0,29.07479063521165
astronaut_sigma15,scipy_ndimage_rotate,115.0,29.060281826972876
astronaut_sigma15,scipy_ndimage_rotate,120.0,22.441000890791855
astronaut_sigma15,scipy_ndimage_rotate,125.0,22.43732022825644
astronaut_sigma15,scipy_ndimage_rotate,130.0,22.42924993897524
astronaut_sigma15,scipy_ndimage_rotate,135.0,30.291458811357096
astronaut_sigma15,scipy_ndimage_rotate,140.0,22.43473934875578
astronaut_sigma15,scipy_ndimage_rotate,145.0,22.43659219619453
astronaut_sigma15,scipy_ndimage_rotate,150.0,22.44074510465068
astronaut_sigma15,scipy_ndimage_rotate,155.0,29.0091150285281
astronaut_sigma15,scipy_ndimage_rotate,160.0,29.069628886759098
astronaut_sigma15,scipy_ndimage_rotate,165.0,22.508303851957763
astronaut_sigma15,scipy_ndimage_rotate,170.0,22.51535557406854
astronaut_sigma15,scipy_ndimage_rotate,175.0,22.52433038325385
astronaut_sigma15,scipy_ndimage_rotate,180.0,99.0
astronaut_sigma15,scipy_ndimage_rotate,185.0,22.528902950254736
astronaut_sigma15,scipy_ndimage_rotate,190.0,22.51478863310065
astronaut_sigma15,scipy_ndimage_rotate,195.0,22.51688498762562
astronaut_sigma15,scipy_ndimage_rotate,200.0,29.07479063521165
astronaut_sigma15,scipy_ndimage_rotate,205.0,29.060281826972876
astronaut_sigma15,scipy_ndimage_rotate,210.0,22.441000890791855
astronaut_sigma15,scipy_ndimage_rotate,215.0,22.43732022825644
astronaut_sigma15,scipy_ndimage_rotate,220.0,22.42924993897524
astronaut_sigma15,scipy_ndimage_rotate,225.0,30.291458811357096
astronaut_sigma15,scipy_ndimage_rotate,230.0,22.43473934875578
astronaut_sigma15,scipy_ndimage_rotate,235.0,22.43659219619453
astronaut_sigma15,scipy_ndimage_rotate,240.0,22.44074510465068
astronaut_sigma15,scipy_ndimage_rotate,245.0,29.0091150285281
astronaut_sigma15,scipy_ndimage_rotate,250.0,29.069628886759098
astronaut_sigma15,scipy_ndimage_rotate,255.0,22.508303851957763
astronaut_sigma15,scipy_ndimage_rotate,260.0,22.51535557406854
astronaut_sigma15,scipy_ndimage_rotate,265.0,22.52433038325385
astronaut_sigma15,scipy_ndimage_rotate,270.0,99.0
astronaut_sigma15,scipy_ndimage_rotate,275.0,22.528902950254736
astronaut_sigma15,scipy_ndimage_rotate,280.0,22.51478863310065
astronaut_sigma15,scipy_ndimage_rotate,285.0,22.51688498762562
astronaut_sigma15,scipy_ndimage_rotate,290.0,29.07479063521165
astronaut_sigma15,scipy_ndimage_rotate,295.0,29.060281826972876
astronaut_sigma15,scipy_ndimage_rotate,300.0,22.441000890791855
astronaut_sigma15,scipy_ndimage_rotate,305.0,22.43732022825644
astronaut_sigma15,scipy_ndimage_rotate,310.0,22.42924993897524
astronaut_sigma15,scipy_ndimage_rotate,315.0,30.291458811357096
astronaut_sigma15,scipy_ndimage_rotate,320.0,22.43473934875578
astronaut_sigma15,scipy_ndimage_rotate,325.0,22.43659219619453
astronaut_sigma15,scipy_ndimage_rotate,330.0,22.44074510465068
astronaut_sigma15,scipy_ndimage_rotate,335.0,29.0091150285281
astronaut_sigma15,scipy_ndimage_rotate,340.0,29.069628886759098
astronaut_sigma15,scipy_ndimage_rotate,345.0,22.508303851957763
astronaut_sigma15,scipy_ndimage_rotate,350.0,22.51535557406854
astronaut_sigma15,scipy_ndimage_rotate,355.0,22.52433038325385
astronaut_sigma15,scipy_ndimage_rotate,360.0,99.0
