denoiser,dataset,group,averaging,noise_mask,noise_sigma,EhSE_psnr,SEavg_psnr,gain_psnr,realized_gain,predicted_gain,tracking,sigma
restormer,val_images,rotation,16,circle,15.0,29.798949075596,29.906144143644088,0.1071950680480888,2.553564642711153e-05,0.0002747076196525,0.0929557267447167,15.0
restormer,val_images,rotation,32,circle,15.0,29.90206203858312,30.05268615727513,0.1506241186920043,3.486539295040414e-05,0.0002215275032633,0.1573862948699488,15.0
restormer,val_images_circle,fourier_rotation,2,circle,15.0,29.58849034460324,29.597719921749995,0.0092295771467618,2.333925888733674e-06,1.0243670077021729e-05,0.2278407905745677,15.0
restormer,val_images_circle,fourier_rotation,4,circle,15.0,29.59500981415087,29.61834972025001,0.0233399060991388,5.883656896879736e-06,1.3706393847813196e-05,0.4292636679062341,15.0
restormer,val_images_circle,fourier_rotation,8,circle,15.0,27.10876780777932,28.922414114981247,1.813646307201932,0.0006642941318591,0.0001870593499499,3.5512479436979048,15.0
restormer,val_images_circle,fourier_rotation,16,circle,15.0,23.08555806271724,28.19290236379096,5.10734430107372,0.0033980654351581,0.0002242538421094,15.15276350761052,15.0
restormer,val_images_circle,fourier_rotation,32,circle,15.0,22.58795446643107,27.82373012822529,5.235775661794218,0.0038601283399899,0.0002361615992799,16.34528370301934,15.0
restormer,val_images_circle,rotation,2,circle,15.0,29.78289690526544,29.79330875675649,0.010411851491046,2.517291298245034e-06,3.610850323738864e-06,0.6971463983692624,15.0
restormer,val_images_circle,rotation,4,circle,15.0,29.79040594002924,29.80803882012107,0.0176328800918277,4.252232506928293e-06,6.166395137577011e-06,0.689581580819542,15.0
restormer,val_images_circle,rotation,8,circle,15.0,28.339080078526948,28.80625970989427,0.4671796313673226,0.0001495002698615,0.0002117506763498,0.7060202708135642,15.0
restormer,val_images_circle,rotation,16,circle,15.0,28.04995591312341,28.473564417221784,0.4236085040983717,0.0001456050672578,0.0002435085706705,0.5979463755910712,15.0
restormer,val_images_circle,rotation,32,circle,15.0,27.980071109701782,28.344021517863112,0.3639504081613296,0.000127991268723,0.000249977094503,0.5120119864480842,15.0
restormer,val_images_diag_padded,fourier_rotation,2,circle,15.0,30.73268601587734,30.74008233427464,0.0073963183972978,1.437450578911924e-06,8.941173124987148e-06,0.1607675591131102,15.0
restormer,val_images_diag_padded,fourier_rotation,4,circle,15.0,30.72320917309017,30.74565124534451,0.0224420722543392,4.363511323002186e-06,1.2057780075362084e-05,0.3618834723912604,15.0
restormer,val_images_diag_padded,fourier_rotation,8,circle,15.0,26.406355691084386,29.28723999320385,2.880884302119469,0.0011091629322968,0.0002510870281029,4.417444185297348,15.0
restormer,val_images_diag_padded,fourier_rotation,16,circle,15.0,21.12398538438328,28.482889317703943,7.358903933320665,0.0063016047048648,0.0002953790828541,21.333957177923505,15.0
restormer,val_images_diag_padded,fourier_rotation,32,circle,15.0,20.785231868320786,27.936604880057704,7.151373011736919,0.0067377719034878,0.0003313371894974,20.33509101017807,15.0
restormer,val_images_diag_padded,rotation,2,circle,15.0,30.61240443225598,30.620188592780416,0.0077841605244373,1.5552416521702331e-06,2.2741430636952743e-06,0.6838803050688939,15.0
restormer,val_images_diag_padded,rotation,4,circle,15.0,30.61084772040901,30.626754816499428,0.0159070960904159,3.1763379916749347e-06,4.720138808965522e-06,0.6729331742621081,15.0
restormer,val_images_diag_padded,rotation,8,circle,15.0,29.055458650262544,29.581248764333303,0.5257901140707588,0.0001417287431614,0.0001990938663669,0.7118689578324398,15.0
restormer,val_images_diag_padded,rotation,16,circle,15.0,28.889906037442927,29.259191391866736,0.369285354423809,0.0001052576646161,0.0002100718486774,0.5010555449425969,15.0
restormer,val_images_diag_padded,rotation,32,circle,15.0,28.78570928668225,29.0647854907812,0.2790762040989492,8.23167995289038e-05,0.0002157343903951,0.3815654953209634,15.0
restormer,square_val_images,fourier_rotation,2,circle,25.0,26.144079923698875,26.16104493124887,0.016965007549995192,9.473572418712355e-06,0.00010814180285322701,0.08760324101097283,25.0
restormer,square_val_images,fourier_rotation,4,circle,25.0,26.12951438772911,26.163556093957684,0.0340417062285745,1.9035951777384245e-05,0.00011244097384562209,0.1692972866236467,25.0
restormer,square_val_images,fourier_rotation,8,circle,25.0,23.831077564253853,25.19642478913177,1.3653472248779153,0.001116530829634374,0.000329205725921355,3.39158994428033,25.0
restormer,square_val_images,fourier_rotation,16,circle,25.0,23.381229564817883,24.965280840929275,1.584051276111392,0.0014030208054485764,0.0003311096508267325,4.237329845099465,25.0
restormer,square_val_images,fourier_rotation,32,circle,25.0,23.046773959847222,24.92213609754929,1.8753621377020693,0.0017386987110248665,0.00032133371673805165,5.410881648757195,25.0
restormer,square_val_images,rotation,2,circle,25.0,25.41867373047583,24.85916891788136,-0.5595048125944722,-0.00039484594340043964,0.00042083881397132143,-0.9382355673765084,25.0
restormer,square_val_images,rotation,4,circle,25.0,25.41344056930033,24.861583127390844,-0.5518574419094868,-0.0003895682489438207,0.0004298650718390553,-0.9062570431162594,25.0
restormer,square_val_images,rotation,8,circle,25.0,24.728152252515223,25.02717187745378,0.29901962493855905,0.00022399326217323567,0.0006826256843425595,0.32813482895675805,25.0
restormer,square_val_images,rotation,16,circle,25.0,24.604909711463513,25.03763242269656,0.4327227112330476,0.0003284565336382168,0.0006395411913795985,0.5135815144755267,25.0
restormer,square_val_images,rotation,32,circle,25.0,24.60072299821166,25.040630270071173,0.4399072718595143,0.0003339602781596533,0.0005903290934903206,0.5657188199638158,25.0
restormer,val_images,fourier_rotation,2,circle,25.0,26.426202869240104,26.445522534183574,0.01931966494347037,1.0107165262136656e-05,9.555844447307195e-05,0.10576946200693776,25.0
restormer,val_images,fourier_rotation,4,circle,25.0,26.40443739099495,26.43796577947249,0.033528388477538584,1.7599863052904187e-05,9.964025914918791e-05,0.1766340553826995,25.0
restormer,val_images,fourier_rotation,8,circle,25.0,24.68330161478724,26.423096091207224,1.7397944764199842,0.0011227780202271447,0.00027408458491046106,4.096465405356298,25.0
restormer,val_images,fourier_rotation,16,circle,25.0,24.07941858154897,26.402548234605874,2.3231296530569026,0.0016194083629868887,0.00028092560501709394,5.764545253496384,25.0
restormer,val_images,fourier_rotation,32,circle,25.0,23.61584027118476,26.443542780709926,2.8277025095251673,0.0020812520782800886,0.0002900265851422148,7.176073452919995,25.0
restormer,val_images,rotation,2,circle,25.0,25.834969713828592,25.333542036074018,-0.5014276777545739,-0.00031932991187495806,0.0003559406987626606,-0.8971435775257766,25.0
restormer,val_images,rotation,4,circle,25.0,25.814056492011797,25.357001565321635,-0.45705492669016223,-0.0002909588570688347,0.00038904583681915724,-0.7478780892444893,25.0
restormer,val_images,rotation,8,circle,25.0,25.657106491796657,25.89775064853741,0.24064415674075335,0.00014652229418974532,0.0005382688737328319,0.27221023049991777,25.0
restormer,val_images,rotation,16,circle,25.0,25.70330705847058,26.058442388144233,0.35513532967365435,0.0002111752857849593,0.00048348556586378066,0.436776815472619,25.0
restormer,val_images,rotation,32,circle,25.0,25.758649617264222,26.125103483144557,0.36645386588033446,0.00021487019174208869,0.0004384951634599654,0.4900172445384482,25.0
restormer,val_images_circle,fourier_rotation,2,circle,25.0,27.96398712476783,27.97947547758415,0.015488352816319662,5.689158348315653e-06,2.9643635468473267e-05,0.19191837500384232,25.0
restormer,val_images_circle,fourier_rotation,4,circle,25.0,27.964879093185104,27.99540543901923,0.030526345834125834,1.1191213374182472e-05,3.494681440445815e-05,0.3202355798345618,25.0
restormer,val_images_circle,fourier_rotation,8,circle,25.0,22.966795023194585,25.277720177524316,2.3109251543297304,0.0020839504332404372,0.0011207035348936398,1.8595019720699053,25.0
restormer,val_images_circle,fourier_rotation,16,circle,25.0,22.17269522929547,24.60528743443121,2.432592205135741,0.002600449428913759,0.0012709631551810021,2.046046274680103,25.0
restormer,val_images_circle,fourier_rotation,32,circle,25.0,21.77963237317144,24.284387779252405,2.504755406080964,0.0029092601328323114,0.0013245571736107483,2.1964020812341807,25.0
